"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...141","2013 May","9590456","6337624","750989.2","169955.9","823241.9","236960.8","226851","314571.3","418168.5","5396712.5","318855.2","305875.4"
"...142","2013 Apr","9650826.2","6308092.6","762951.3","190027.5","761224.2","267523.1","273577.2","267449.1","473293.7","3997684","330199.1","345479"
"...143","2013 Mar","8704253.2","5556743","719318.8","196395.7","782262.2","280474.3","251785.5","232979","362437.2","3529938.2","316677.5","333008.2"
"...144","2013 Feb","6930745.4","4431730.5","567682","132582.3","618052.4","210554.3","188409.6","183437","327277.2","2916851.3","252488.6","268310.1"
"...145","2013 Jan","9003287.9","5804770.5","677376.4","151471.8","897029.8","257886.1","245103.7","204712.3","450618.8","3350286.5","277229.9","305128.8"
"...146","2012 Dec","8377955.2","5306028.2","668899.2","152390.2","887081.3","253608.4","220264.8","176305.7","400659.3","3150401.7","282118","272232.1"
"...147","2012 Nov","8691447.4","5778216.9","633839.3","154574.3","718591.7","240743.5","214530.5","181383.4","442765.8","3419709.5","270603.5","287192.2"
"...148","2012 Oct","8727505.2","5582953.6","720401.9","191125.3","699824.8","278804.3","241117.7","189690.7","471798.4","3671711.2","366553.8","320500.9"
"...149","2012 Sep","8604246.3","5661462.5","664954.6","172577.3","631852.9","259205.2","234699.8","180261.9","436469","3724518.9","351488.6","330265.6"
"...150","2012 Aug","7881173.1","4913610.8","655674.9","154397","627220.2","261388.2","232784.5","228651.2","439033.2","3980934.5","401697.6","330891.5"
"...151","2012 Jul","8471978.1","4980354.2","766362.1","170371.9","731631.2","267697.2","306542.1","270373.5","569490.1","3879383.7","438010.1","330285.1"
"...152","2012 Jun","8342840.6","5062476.5","772600.1","221602.2","682647.2","249137.9","300447.1","206778.8","473552.8","3806617.9","405095.9","298598.7"
"...153","2012 May","8204774.8","5023717.5","776168.3","181570.9","675293","265961.1","301227.3","178428.8","419217.5","3801278.3","400924.5","315499.1"
"...154","2012 Apr","7887021.6","4821274.4","792293.5","172052.2","584544.5","299933.2","271986.8","180705.4","412854.6","3737998.8","380863.9","303206.8"
"...155","2012 Mar","8811080.7","5496546.4","826611.3","187651.2","608671.3","297517.8","300138.2","184599.2","438004.2","3737580.8","379484.6","317139.6"
"...156","2012 Feb","8001209.5","5010453.5","737808.3","151095.4","662039.7","301061.5","238157.6","161751.5","396206.7","3521394","325171.6","328762"
"...157","2012 Jan","7679015.1","4767158.3","782964.6","103743","596527.9","257216.2","270348.1","181874.7","389190.7","3215911.1","322561.8","292133.1"
"...158","2011 Dec","8473229.5","5033138.8","902809.6","155216.2","888645","291910","293054.2","135735.1","420694.8","3620556.2","311223.6","319596.7"
"...159","2011 Nov","8539381","5377965.2","837151.7","147965.3","691401.1","299810.6","300743.5","146925.6","387060.6","3710403","363301.8","382839.4"
"...160","2011 Oct","8801814.3","5675382.1","886606.4","147538.7","607373.4","309785.6","253051.1","112429.4","443390.6","4177994.5","387764.4","361146"
"...161","2011 Sep","8714558.6","5438512.7","881163.4","126414","714173.9","340354.4","269026.5","153958.6","415521.6","3643245.4","381545.5","341888.9"
"...162","2011 Aug","8002889.3","4871263.1","766913.5","121842.7","735763.9","312740.7","228203.1","174566.2","458653.8","3532734.1","353116.7","341718.8"
"...163","2011 Jul","8175880","4972691.1","830766","111682.4","666784.3","334844.7","238085.3","189970.4","460189.4","3439906.8","387350.9","313258.3"
"...164","2011 Jun","8523038.2","5265754.7","851279","130101.3","709424","308326.5","181022.4","177974.4","547130.7","3572576.5","391769.1","327547.7"
"...165","2011 May","8352199.3","5105601.8","942277.6","115995.4","615018.4","295222.1","214626.7","188812.2","512178.5","3469091.9","349438.4","331492.6"
"...166","2011 Apr","8309761.4","5014412.8","877625.2","152976.9","701803","281773.7","176621","242862.7","488590.5","3351751.4","366446.4","295626.2"
"...167","2011 Mar","9368954.5","5647293.7","1022099.7","190629.2","773495.3","386437.6","218720.6","189824.3","552082.1","3728421.8","378441.3","322554.5"
"...168","2011 Feb","7442121.2","4727490.7","720684.4","156760.3","537353.1","307558.1","149741","141726.2","406091.2","2891629.1","281360.3","243876"
"...169","2011 Jan","9077884.9","5730775.7","913680.1","165513.7","638829","363638.6","190423.9","194085.2","521698.5","3368002.9","351740.7","308824.5"
"...170","2010 Dec","9666478.9","5214289.9","1400477","463021.1","676230.4","386938","222153.8","250108.5","636236","3571843.4","281185.7","322702.2"
"...171","2010 Nov","8734976","5306958","944774","148743.2","593244.4","378515.2","167535.1","156846.3","665292.8","3197907.2","259877.3","286508.1"
"...172","2010 Oct","9844686.2","6178647.9","1056055.2","150074.9","565146.6","396450.9","178512","134231","771910.1","3188130.4","262871.7","296575.4"
"...173","2010 Sep","9954868.7","6433147.9","961463.2","154518.7","587365.9","373188","151724.5","167686.8","750277.4","3191926.1","280067.2","305403.5"
"...174","2010 Aug","10287917.6","6438813.2","1018962.8","157563.4","572764.6","408516.8","168031.3","284332.5","847671.9","3369687.2","307123.2","299465.8"
"...175","2010 Jul","10012400.1","6259892","1020070.1","162951.9","592701.4","374044.8","164147.5","263238.7","761216.4","3376664.4","290796.3","326029.3"
"...176","2010 Jun","9558462.6","5803539.3","972203.3","160032.7","546135.8","362890.2","145386.1","414234.4","736411.5","3292754.6","251715.1","290420.7"
"...177","2010 May","8793278.8","5294459.9","925845","140131.6","487010.2","322680.1","138240.9","272412.7","832700.9","3144690.3","244257.3","280904.6"
"...178","2010 Apr","8863363.6","5321650.4","934120","146708.7","514057.4","349241","159627.4","373607.3","679912","3261501.7","272202.9","317242.6"
"...179","2010 Mar","9347744.2","5429392.1","1034279.5","171922.9","619941.2","374378.2","176919.3","305244.9","809729.8","3607625","308958.6","321681.8"
"...180","2010 Feb","7248544.4","4340338.7","787006.1","131742.8","431173.6","272642.1","123561.6","269237.5","550351.1","2593894.6","239637.6","230008.2"
"...181","2010 Jan","8661969.2","5039944.2","1044052.4","153473.4","597157","332216.8","198090.4","191483.8","698041.8","2944703.8","267621.8","236013.5"
"...182","2009 Dec","8652723","5005065.5","1024105.3","163479","557780.5","385226.6","159638.8","248109.7","672109.3","3192908.5","265589.9","254889.7"
"...183","2009 Nov","8363088.8","5032749.8","921522","169148","492029.6","347640.8","135185.1","142642.6","699784.4","2753227.1","247259.1","263187.7"
"...184","2009 Oct","8744108.6","5282262.6","1090780.4","128237.7","554694.4","352900","167024.5","200622.5","535937.1","3135764.7","289939.3","260145.2"
"...185","2009 Sep","8495987.6","5371247.9","922488.1","122749.7","498937.3","331698.4","107443","134704.5","618471.8","2980381.5","254890.6","233895"
"...186","2009 Aug","8101581.4","5091370.2","815103.7","133100.4","506283.1","342929.4","130249","143994.8","595240.3","3135068","254658.6","306685.3"
"...187","2009 Jul","7969708","4735800.2","879490.3","130104.7","652902","338791","132603.4","108674","600674.1","3334633.5","257840.5","235551.3"
"...188","2009 Jun","7243771.8","4442253.1","761094.5","115253.8","464056.8","305794.6","124423.6","102146.4","560321.6","2955734.1","220937.5","219542.6"
